,AGGLOMÉRATION DE MONTRÉAL,Ville de Montréal,Ahuntsic-Cartierville,Anjou,Côte-des-Neiges–Notre-Dame-de-Grâce,Lachine,LaSalle,Le Plateau-Mont-Royal,Le Sud-Ouest,L'Île-Bizard–Sainte-Geneviève,Mercier–Hochelaga-Maisonneuve,Montréal-Nord,Outremont,Pierrefonds-Roxboro,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite-Patrie,Saint-Laurent,Saint-Léonard,Verdun,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Baie-D'Urfé,Beaconsfield,Côte-Saint-Luc,Dollard-Des Ormeaux,Dorval,Hampstead,Kirkland,Montréal-Est,Montréal-Ouest,Mont-Royal,Pointe-Claire,Sainte-Anne-de-Bellevue,Senneville,Westmount
population2016,"1,942,044","1,704,694","134,245","42,796","166,520","44,489","76,853","104,000","78,151","18,413","136,024","84,234","23,954","69,297","106,743","139,590","98,828","78,305","69,229","89,170","143,853","3,823","19,324","32,448","48,899","18,980","6,973","20,151","3,850","5,050","20,276","31,380","4,958",921,"20,312"
population2011,"1,886,481","1,649,519","126,891","41,928","165,031","41,616","74,276","100,390","71,546","18,097","131,483","83,868","23,566","68,410","106,437","134,038","93,842","75,707","66,158","84,013","142,222","3,850","19,505","32,321","49,637","18,208","7,153","21,253","3,728","5,085","19,503","30,790","5,073",920,"19,931"
percVariation2011_2016,2.9,3.3,5.8,2.1,0.9,6.9,3.5,3.6,9.2,1.7,3.5,0.4,1.6,1.3,0.3,4.1,5.3,3.4,4.6,6.1,1.1,-0.7,-0.9,0.4,-1.5,4.2,-2.5,-5.2,3.3,-0.7,4.0,1.9,-2.3,0.1,1.9
area_km2,499.1,365.2,24.2,13.7,21.4,17.7,16.3,8.1,15.7,23.6,25.4,11.1,3.9,27.1,42.3,15.9,42.8,13.5,9.7,16.5,16.5,6.0,11.0,6.9,15.2,20.9,1.8,9.6,12.5,1.4,7.6,18.8,10.6,7.5,4.0
density,"3,891","4,668","5,556","3,128","7,767","2,511","4,724","12,792","4,984",780,"5,353","7,623","6,222","2,561","2,525","8,807","2,311","5,805","7,126","5,398","8,724",636,"1,760","4,676","3,223",910,"3,904","2,094",309,"3,597","2,652","1,666",470,123,"5,055"
population_total,"1,942,045","1,704,690","134,245","42,800","166,515","44,485","76,860","104,000","78,150","18,410","136,020","84,235","23,955","69,300","106,740","139,590","98,825","78,305","69,225","89,175","143,860","3,820","19,325","32,450","48,895","18,980","6,970","20,150","3,850","5,050","20,275","31,380","4,955",925,"20,315"
population_0_4yrs,"109,740","98,815","8,610","2,440","9,495","2,535","4,455","4,920","4,255",865,"7,510","5,685","1,780","3,690","5,425","7,845","6,995","5,915","3,940","3,080","9,375",125,865,"1,885","2,245",810,365,705,230,265,"1,095","1,370",150,35,785
population_5_9yrs,"104,385","91,005","7,855","2,605","9,285","2,470","4,290","3,795","3,470",980,"6,125","5,420","1,915","4,330","5,860","6,540","6,900","5,485","3,330","1,945","8,405",190,"1,180","2,020","2,715",885,430,"1,105",210,325,"1,425","1,600",175,40,"1,080"
population_10_14yrs,"90,350","75,960","6,280","2,210","8,060","2,190","3,735","2,840","2,915","1,080","4,905","4,525","1,755","4,490","5,545","5,005","5,875","4,020","2,455","1,500","6,580",280,"1,385","1,745","3,020",865,510,"1,295",150,345,"1,535","1,775",250,60,"1,165"
population_15_19yrs,"97,835","81,790","6,435","2,095","9,250","2,245","3,950","3,835","3,270","1,270","5,420","4,790","1,675","4,795","6,210","4,685","5,695","3,985","2,370","2,970","6,845",315,"1,615","1,640","3,400",990,580,"1,650",220,365,"1,435","1,915",440,80,"1,395"
population_20_24yrs,"139,720","123,930","7,785","2,220","15,210","2,610","4,615","11,900","5,665","1,245","9,440","5,190","1,710","4,735","6,835","8,730","5,935","4,110","4,065","11,315","10,635",240,"1,285","1,580","3,495","1,290",570,"1,595",270,370,"1,250","1,910",515,55,"1,370"
population_25_29yrs,"153,500","142,395","8,755","2,050","14,135","2,775","4,645","14,725","9,100",910,"12,095","5,025","1,355","3,660","6,320","13,810","5,970","4,130","5,950","13,365","13,620",110,625,"1,440","2,640","1,120",325,880,335,185,805,"1,325",285,30,"1,010"
population_30_34yrs,"152,195","141,520","9,730","2,305","14,000","3,055","4,980","12,335","8,865",830,"12,435","5,025","1,155","3,770","5,990","14,740","7,040","4,800","6,825","10,370","13,270",90,605,"1,645","2,315","1,200",315,700,275,185,895,"1,340",220,30,840
population_35_39yrs,"147,480","134,710","10,200","2,780","13,280","3,225","5,320","10,165","6,870","1,075","11,590","5,380","1,490","4,295","6,545","13,810","7,515","5,470","6,035","7,450","12,210",120,905,"2,075","2,730","1,155",350,925,285,245,"1,165","1,595",210,35,970
population_40_44yrs,"128,970","114,790","9,415","2,745","11,520","2,910","5,070","7,175","5,065","1,110","8,655","5,420","1,460","4,645","6,690","9,870","7,345","5,680","4,850","5,120","10,040",190,"1,220","1,935","2,905","1,235",385,"1,090",230,335,"1,425","1,805",260,40,"1,120"
population_45_49yrs,"125,510","109,245","8,790","2,895","10,560","3,005","5,250","5,655","4,570","1,370","8,420","5,650","1,385","5,360","7,220","8,385","6,985","5,690","4,280","4,615","9,160",310,"1,545","1,770","3,355","1,310",465,"1,565",270,365,"1,490","2,125",395,75,"1,225"
population_50_54yrs,"131,865","113,465","8,805","2,930","10,090","3,480","5,520","5,655","4,920","1,690","9,525","5,700","1,455","5,780","8,715","9,035","6,355","5,035","4,645","5,125","9,005",365,"1,740","1,680","3,775","1,575",530,"1,995",270,450,"1,530","2,520",445,75,"1,440"
population_55_59yrs,"127,010","109,565","8,710","2,920","9,330","3,465","5,270","5,255","5,070","1,615","9,690","5,370","1,265","5,295","8,970","8,860","5,675","4,495","4,800","5,055","8,460",310,"1,540","1,665","3,610","1,540",495,"1,890",310,415,"1,280","2,500",390,75,"1,430"
